id,name,latitude_deg,longitude_deg,iata_code
19272,Colorado Plains Regional Airport,40.17559814,-103.2220001,AKO
5381,Anaktuvuk Pass Airport,68.13359833,-151.7429962,AKP
41363,Gunung Batin Airport,-4.611139774,105.2320023,AKQ
2105,Akure Airport,7.246739864,5.301010132,AKR
30634,Gwaunaru'u Airport,-8.70257,160.682007,AKS
3982,RAF Akrotiri,34.590401,32.9879,AKT
30635,Aksu Airport,41.262501,80.291702,AKU
1791,Akulivik Airport,60.8185997,-78.14859772,AKV
5132,Aghajari Airport,30.7444,49.6772,AKW
6438,Aktobe Airport,50.24580002,57.20669937,AKX
26740,Sittwe Airport,20.13269997,92.87259674,AKY
6421,Almaty Airport,43.35210037,77.04049683,ALA
3371,Albany International Airport,42.74829865,-73.80169678,ALB
3997,Alicante International Airport,38.28219986,-0.558156013,ALC
30636,Alerta Airport,-11.68299961,-69.33300018,ALD
19696,Alpine Casparis Municipal Airport,30.38419914,-103.6839981,ALE
2566,Alta Airport,69.97609711,23.37170029,ALF
2050,Houari Boumediene Airport,36.69100189,3.215409994,ALG
26888,Albany Airport,-34.94329834,117.8089981,ALH
3372,Alice International Airport,27.74090004,-98.02690125,ALI
2767,Alexander Bay Airport,-28.575001,16.5333,ALJ
4343,Villanova D'Albenga International Airport,44.050598,8.12743,ALL
3373,Alamogordo White Sands Regional Airport,32.83990097,-105.9909973,ALM
3374,St Louis Regional Airport,38.89030075,-90.04599762,ALN
3375,Waterloo Regional Airport,42.55709839,-92.40029907,ALO
5302,Aleppo International Airport,36.18069839,37.22439957,ALP
477,Alegrete Novo Airport,-29.81270027,-55.89339828,ALQ
5038,Alexandra Airport,-45.21170044,169.3730011,ALR
19275,San Luis Valley Regional Bergman Field,37.434898,-105.866997,ALS
30637,Alenquer Airport,-1.917,-54.7231,ALT
30638,Alula Airport,11.9582,50.748,ALU
41841,Andorra la Vella Heliport,42.511174,1.533551,ALV
3376,Walla Walla Regional Airport,46.09489822,-118.288002,ALW
19276,Thomas C Russell Field,32.91469955,-85.96299744,ALX
3178,El Nouzha Airport,31.18390083,29.94890022,ALY
16289,Alitak Seaplane Base,56.8995018,-154.2480011,ALZ
3377,Rick Husband Amarillo International Airport,35.219398,-101.706001,AMA
2916,Ambilobe Airport,-13.18840027,48.98799896,AMB
30639,Am Timan Airport,11.0340004,20.27400017,AMC
26431,Sardar Vallabhbhai Patel International Airport,23.07719994,72.63469696,AMD
301755,Alto Molocue Airport,-15.61027778,37.68138889,AME
301676,Ama Airport,-4.101111111,141.67,AMF
3159,Arba Minch Airport,6.039390087,37.59049988,AMH
26749,Selaparang Airport,-8.560709953,116.0950012,AMI
273,Cirilo Queiróz Airport,-16.18389,-40.66722,AMJ
18302,Animas Air Park,37.20320129,-107.8690033,AMK
30640,Puerto Armuelles Airport,8.268059731,-82.86489868,AML
5212,Queen Alia International Airport,31.72260094,35.99319839,AMM
19278,Gratiot Community Airport,43.32210159,-84.68800354,AMN
30641,Mao Airport,14.14560032,15.31439972,AMO
30642,Ampanihy Airport,-24.6996994,44.73419952,AMP
26784,"Pattimura Airport, Ambon",-3.710259914,128.0890045,AMQ
2513,Amsterdam Airport Schiphol,52.30860138,4.76388979,AMS
27328,Amata Airport,-26.10829926,131.2070007,AMT
301689,Amanab Airport,-3.586,141.2143333,AMU
30643,Amderma Airport,69.76329803,61.5564003,AMV
19280,Ames Municipal Airport,41.992001,-93.621803,AMW
38229,Ammaroo Airport,-21.73830032,135.2420044,AMX
301758,Ambatomainty Airport,-17.68666667,45.62388889,AMY
5025,Ardmore Airport,-37.02970123,174.9730072,AMZ
42595,Angama Airport,-1.27156,34.955513,ANA
3378,Anniston Metropolitan Airport,33.58819962,-85.85810089,ANB
5388,Ted Stevens Anchorage International Airport,61.17440033,-149.9960022,ANC
3379,Anderson Regional Airport,34.49459839,-82.70939636,AND
4121,Angers-Loire Airport,47.56029892,-0.312222004,ANE
6018,Cerro Moreno Airport,-23.44449997,-70.44509888,ANF
4074,Angoulême-Brie-Champniers Airport,45.72919846,0.221456006,ANG
301759,Anuha Island Resort Airport,-9.001388889,160.225,ANH
16291,Aniak Airport,61.58160019,-159.5429993,ANI
30645,Zanaga Airport,-2.849999905,13.81700039,ANJ
4510,Etimesgut Air Base,39.94979858,32.68859863,ANK
43971,Andulo Airport,-11.47229958,16.71089935,ANL
2917,Antsirabato Airport,-14.99940014,50.32020187,ANM
5391,Annette Island Airport,55.04240036,-131.5720062,ANN
29661,Angoche Airport,-16.18186951,39.94521713,ANO
19284,Lee Airport,38.942902,-76.568398,ANP
19285,Tri State Steuben County Airport,41.639702,-85.083504,ANQ
2152,Antwerp International Airport (Deurne),51.18939972,4.460279942,ANR
6215,Andahuaylas Airport,-13.70639992,-73.35040283,ANS
6359,V.C. Bird International Airport,17.1367,-61.792702,ANU
5392,Anvik Airport,62.646702,-160.190994,ANV
19286,Ainsworth Municipal Airport,42.579201,-99.992996,ANW
2565,Andøya Airport,69.29250336,16.14419937,ANX
19287,Anthony Municipal Airport,37.158501,-98.079597,ANY
312361,Angus Downs Airport,-25.0325,132.2748,ANZ
313771,Aroa Airport,-9.0254,146.8,AOA
301705,Annanberg Airport,-4.904166667,144.6358333,AOB
2184,Altenburg-Nobitz Airport,50.98194504,12.50638866,AOC
312362,Abou-Deïa Airport,11.4773,19.2874,AOD
4547,Anadolu Airport,39.809898,30.5194,AOE
30646,Anshan Air Base,41.105301,122.853996,AOG
19289,Lima Allen County Airport,40.706902,-84.026703,AOH
4367,Ancona Falconara Airport,43.616299,13.3623,AOI
5605,Aomori Airport,40.73469925,140.6909943,AOJ
4265,Karpathos Airport,35.42139816,27.14599991,AOK
5807,Paso De Los Libres Airport,-29.6894,-57.1521,AOL
299737,Adam Airport,22.49194444,57.38388889,AOM
3380,Altoona Blair County Airport,40.29639816,-78.31999969,AOO
6201,Alferez FAP Alfredo Vladimir Sara Bauer Airport,-2.796129942,-76.46659851,AOP
26866,Sultan Abdul Halim Airport,6.189670086,100.3980026,AOR
16174,Amook Bay Seaplane Base,57.4715004,-153.8150024,AOS
4349,Aosta Airport,45.738499,7.36872,AOT
30647,Attopeu Airport,14.81471536,106.8216991,AOU
19291,Centennial Airport,39.57009888,-104.848999,APA
29662,Apolo Airport,-14.73560047,-68.41190338,APB
19292,Napa County Airport,38.2132,-122.280998,APC
39615,San Juan Aposento Airport,-15.35389996,-75.167099,APE
19293,Naples Municipal Airport,26.15259933,-81.77529907,APF
3381,Phillips Army Air Field,39.466202,-76.1688,APG
19294,A P Hill AAF (Fort A P Hill) Airport,38.068902,-77.318298,APH
6098,Gomez Nino Apiay Air Base,4.07607,-73.5627,API
30648,Apataki Airport,-15.57359982,-146.4149933,APK
2980,Nampula Airport,-15.10560036,39.28179932,APL
3382,Alpena County Regional Airport,45.0780983,-83.56030273,APN
6127,Antonio Roldan Betancourt Airport,7.81196,-76.7164,APO
301727,Asapa Airport,-8.979166667,148.1036111,APP
270,Arapiraca Airport,-9.775360107,-36.62919998,APQ
301706,April River Airport,-4.676666667,142.5401389,APR
567,Anápolis Airport,-16.36230087,-48.92710114,APS
19295,Marion County Brown Field,35.060699,-85.585297,APT
432,Captain João Busse Airport,-23.609501,-51.384499,APU
19296,Apple Valley Airport,34.57529831,-117.185997,APV
4976,Faleolo International Airport,-13.82999992,-172.0079956,APW
485,Arapongas Airport,-23.3529,-51.491699,APX
37032,Alto Parnaíba Airport,-9.083610535,-45.95055771,APY
5785,Zapala Airport,-38.975498,-70.113602,APZ
5861,Araraquara Airport,-21.81200027,-48.13299942,AQA
30649,Santa Cruz del Quiche Airport,15.01220036,-91.15059662,AQB
