origin_airport,destination_airport,SumOfSumC (tonnes),in kg
DXB,FRA," 7,983 ",7983047.297
PVG,BKK," 7,974 ",7973847.823
HKG,KUL," 7,962 ",7962358.564
CDG,YUL," 7,922 ",7922410.38
XMN,PEK," 7,873 ",7873483.475
PHX,ORD," 7,860 ",7860005.509
MAD,EZE," 7,837 ",7837082.369
MSP,PHX," 7,798 ",7798416.551
LAX,MCO," 7,797 ",7796951.245
HKG,MEL," 7,792 ",7791778.044
CAI,JED," 7,773 ",7773086.061
DXB,PVG," 7,768 ",7767710.782
LAX,SFO," 7,728 ",7728256.142
NRT,SIN," 7,717 ",7717391.243
ICN,SGN," 7,717 ",7716544.723
FRA,DXB," 7,698 ",7697830.56
ICN,SFO," 7,682 ",7682477.824
MEL,AKL," 7,677 ",7677225.343
CDG,JFK," 7,677 ",7676718.097
DOH,MNL," 7,669 ",7668557.501
IST,IKA," 7,655 ",7654779.947
HKT,BKK," 7,650 ",7649810.8
SIN,CGK," 7,647 ",7646919.788
DXB,PEK," 7,641 ",7640584.28
LGW,BGI," 7,621 ",7621421.016
DXB,JED," 7,621 ",7620963.171
JED,DXB," 7,620 ",7619731.103
XIY,PEK," 7,605 ",7605211.893
ICN,MNL," 7,601 ",7601246.387
MNL,NRT," 7,596 ",7596182.984
PEK,XIY," 7,590 ",7589863.136
YYZ,CUN," 7,587 ",7587422.11
RUH,MNL," 7,578 ",7578224.016
PEK,HRB," 7,563 ",7563057.35
LHR,AUH," 7,545 ",7545375.528
MEX,LAX," 7,519 ",7519058.416
SIN,DPS," 7,519 ",7518992.438
BPN,CGK," 7,493 ",7492649.914
PER,SIN," 7,492 ",7491909.884
BGI,LGW," 7,475 ",7474631.716
DXB,AMS," 7,465 ",7464865.811
OOL,SYD," 7,449 ",7449348.23
LAX,MNL," 7,447 ",7446875.824
MAN,TFS," 7,441 ",7441437.051
SCL,ANF," 7,435 ",7435284.89
MIA,LHR," 7,426 ",7425998.775
